,sequence,labels,scores
0,"Seeking information on digital strategies that can aid in brand growth and details on the available services. Looking forward to learning more to help our business grow. Thank you, and I look forward to hearing from you soon.","['high', 'medium', 'low']","[0.5844454765319824, 0.2137223780155182, 0.20183219015598297]"
1,"I am contacting you to request information on data analytics tools that can be utilized with the Eclipse IDE for enhancing investment optimization. I am seeking suggestions for tools that can aid in making data-driven decisions. Particularly, I am interested in tools that can manage large datasets and offer advanced analytics features. These tools should be compatible with the Eclipse IDE and can smoothly integrate into my workflow. Key features I am interested in include data visualization, predictive modeling, and machine learning capabilities. I would greatly appreciate any recommendations or advice on how to begin with data analytics for investment optimization using the Eclipse IDE.","['high', 'medium', 'low']","[0.5242254734039307, 0.2752789855003357, 0.20049554109573364]"
2,"Dear Customer Support, I am reaching out to inquire about the security protocols you have in place to protect medical data. As a valued customer, I want to ensure that my sensitive health information is handled with the utmost care and confidentiality. Could you please provide me with information on the measures you take to safeguard medical data? Additionally, I would appreciate it if you could inform me about any certifications or compliances your company adheres to, such as HIPAA. I am also keen to know if you have any specific measures to prevent data breaches and unauthorized access. Thank you for your time and assistance. I look forward to your prompt response.","['high', 'medium', 'low']","[0.5129762887954712, 0.26633161306381226, 0.22069203853607178]"
3,Inquiring about best practices for securing medical data on a 2-in-1 Convertible Laptop. Currently have Norton 360 installed and need guidance on how to properly configure it to protect sensitive medical information. Would greatly appreciate any tips or recommendations you can offer.,"['high', 'medium', 'low']","[0.5059037208557129, 0.3162270486354828, 0.17786921560764313]"
4,"The integration stopped working unexpectedly, causing synchronization errors between our platforms. This might be due to recent modifications to the API. Despite attempting to restart services and examining logs, the problem remains unresolved. I would be grateful for your help in addressing this issue.","['high', 'medium', 'low']","[0.6089747548103333, 0.2229718267917633, 0.16805346310138702]"
5,"I am reaching out to report an issue with our data analytics platform. The platform has crashed, and we believe it might be due to inadequate RAM allocation. We have already tried restarting the server and reviewing the logs, but the problem still exists. We kindly request your assistance in investigating this matter and providing a resolution at your earliest convenience. Please inform us if any additional information from our side is necessary to address this issue. The platform is currently unavailable, and we urgently need it to be operational. Thank you for your consideration and support.","['high', 'low', 'medium']","[0.4570360481739044, 0.374813437461853, 0.16815055906772614]"
6,"Dear Customer Support,\n\nI am reporting an issue with our project sync, which has led to data loss. This sync failure occurred after recent software updates, possibly due to incompatibility issues. Despite restarting our systems and reviewing firewall settings, the problem remains unresolved.\n\nThe software updates were installed recently, and the sync failure happened shortly thereafter. Our team has attempted to troubleshoot the issue by restarting the systems and reviewing the firewall settings, but these efforts have been unsuccessful.\n\nI would greatly appreciate it if you could investigate this matter and provide a solution to resolve the sync issue and recover the lost data. If there is any additional information or logs you require from our side, please let me know.\n\nThank you for your time and assistance.\n\nBest regards,\n[Your Name]","['high', 'low', 'medium']","[0.48749294877052307, 0.2796393036842346, 0.23286770284175873]"
7,"Hello Customer Support Team, I am writing to seek advice on digital methods that can aid in expanding my brand. In the current digital era, a robust online footprint is essential for business success. I am keen to learn about the strategies you suggest for boosting brand visibility and attracting more customers. Particularly, I am interested in exploring social media marketing, search engine optimization, and content development. I think applying the appropriate digital strategies could significantly advance my brand. Would you be able to offer some insights on this? I look forward to your response. Thanks for your time and support.","['high', 'low', 'medium']","[0.6858487725257874, 0.1656501740217209, 0.14850100874900818]"
8,"Dear Customer Support, I am encountering a problem with my website analytics dashboard that is not updating. I believe there might be an issue with the API connection. I have already restarted the dashboard and verified my credentials, yet the problem still exists. Could you please investigate and offer a solution at your earliest convenience? If you require any additional information from me, please let me know. Thank you for your assistance, and I look forward to your response.","['high', 'low', 'medium']","[0.5279294848442078, 0.2622607946395874, 0.20980973541736603]"
9,"Data breach found, assistance required","['high', 'medium', 'low']","[0.6162035465240479, 0.30438730120658875, 0.07940911501646042]"
